122,0.42571363,0.03310411,33,0.2044536,0.2203125,73,0.334672,0.2953125
174,2.0685364,0.1125958,33,0.5039886,0.671875,74,1.0208879,0.9453125
216,5.875126,0.2434383,33,1.103775,1.5625,73,2.3647474,2.484375
290,16.3409129,0.5354599,33,2.6309409,3.296875,74,5.7140266,4.65625
355,34.1856104,1.0350725,33,4.6806564,5.609375,74,10.2088312,8.34375
375,57.0117556,1.8375653,33,7.3465128,9.34375,74,16.3444467,12.625
434,94.8776068,2.6374955,33,11.6162681,13.765625,74,26.6990573,19.515625
486,152.811191,4.4333393,33,15.9782369,19.5,74,42.6411807,27.453125
543,235.6036383,5.2948676,33,21.7439122,26.859375,74,59.3134211,37.65625
609,335.2852915,6.8435451,33,29.4351508,36.28125,74,83.3172147,51.703125
652,487.1575132,9.6504835,33,38.4127626,47.75,74,109.8847234,66.15625
704,667.6326734,12.7817336,33,49.5910085,61.421875,74,137.8724163,86.90625
765,916.854661,16.2391205,33,60.494037,77.46875,74,169.8253232,106.75
813,1188.2081381,20.7601823,33,74.8155889,93.5,74,209.5627806,130.171875
875,1648.0286584,26.7431771,33,92.2695297,115.703125,74,260.2500613,168.5
