85,77.1,8.441297,33,4.30000000000001,0.32482,74,9.19,0.38651
124,173.77,35.618352,33,9.72000000000003,1.1602,75,17.9100000000001,1.21378
163,474.59,83.838197,33,13.84,3.29,75,28.92,3.46
201,656.27,169.53139,33,18.84,5.46,75,37.84,6.25
241,1133.92,416.505124,33,24.91,9.27,75,48.82,10.72
280,2543.56,911.703649,33,39.69,16.095,75,72.36,17.015
319,2470.85,1638.427193,33,58.1,24.965,75,98.3,25.235
358,3826.68,2050.054567,33,68.21,38.6,75,151.43,38.255
397,6325.4,3137.213156,33,88.56,42.87,74,173.54,46.345
436,8716.55,4525.139406,33,137.38,63.7,74,244.27,69.17
475,10101.86,6512.680096,33,182.96,87.96,74,290.91,94.135
514,15339.97,10226.778272,33,214.91,112.735,74,443.9,122.445
554,20234.4,13638.190498,33,245.78,128.24,74,498.01,154.8
592,24286.44,15784.386153,33,375.91,165.775,74,617.24,173.93
632,31494.92,19267.288737,33,342.76,189.47,74,800.32,234.165













