78,75.72,10.977397,33,6.31,0.41282,67,12.55,0.43181
116,149.17,32.373343,33,11.6900000000001,1.22998,71,27.0400000000001,1.5651
153,538.88,99.370965,33,18.46,3.16,72,43.26,3.465
190,549.69,242.902058,33,27.49,6.315,72,54.02,6.925
227,1140.58,486.236816,32,32.53,11.03,73,65.97,11.225
264,2802.17,981.488005,32,51.11,17.415,73,104.82,20.075
301,2292.83,1390.319896,32,69.87,24.96,73,150.08,30.6
338,4251.77,2450.374461,32,117.65,39.46,73,216.55,44.735
375,6332.77,3431.657496,32,136.14,56.175,73,280.76,63.27
412,8914.76,4947.606392,32,173.39,76.04,73,441.29,92.62
450,11032.59,6940.23849,32,240.87,98.57,73,502.26,114.85
486,14712.51,9086.956714,32,349.79,117.895,73,685.8,140.755
524,19691.39,12714.04768,32,379.97,156.03,73,1024.43,182.31
561,27300.45,17479.653447,32,510.62,196.38,73,1027.7,221.83
598,34962.4,21171.410881,32,556.88,222.715,73,1201.53,255.59














